id;available;name;vendor;vendorCode;url;price;currencyId;categoryId;manufacturer_warranty;delivery;description;picture;barcode;outlets;cartons_dimensions;Stock;brand_name;style_name;collection_name;series_name;Гарантия;УчастникТВПрограммы;ДваВОдном;ТипПотолочногоКрепления;Технологии;Типы помещении;Напряжение;КодТНВЭД;КлассЭлектрозащиты;ingress_protection_rating;ЦветАрматуры;МатериалАрматуры;ЦветХрусталя;Диаметр;Длина;Ширина;Высота;МинимальнаяВысота;ФормаМонтажногоОтверстияВстраиваемогоСветильника;ТипМонтажаВстраиваемогоСветильника;ДиаметрМонтажногоОтверстияВстраиваемогоСветильника;ГлубинаМонтажногоОтверстияВстраиваемогоСветильника;ШиринаМонтажногоОтверстияВстраиваемогоСветильника;ДлинаМонтажногоОтверстияВстраиваемогоСветильника;Цепь;ДлинаЦепи;Чаша крепления;ФормаЧашиКрепления;ШиринаЧашиКрепления;ДлинаЧашиКрепления;ДиаметрЧашиКрепления;ВысотаЧашиКрепления;ФормаАбажура;ТипКрепленияАбажура;МатериалАбажура;ЦветАбажура;ВысотаАбажура;ШиринаАбажура;ДлинаАбажура;lampshade_top_diameter;НижнийДиаметрАбажура;ВерхняяШиринаАбажура;НижняяШиринаАбажура;ВерхняяДлинаАбажура;НижняяДлинаАбажура;ДиаметрАбажура;РадиусАбажура;lamp_is_led;ЛампыВКомплекте;Цоколь;КоличествоЛамп;Мощность;СветовойПоток;УголРассеивания;ИндексЦветопередачи;ЦветоваяТемпература;АналогЛампыНакаливания;Фото1;Фото2;Фото3;Фото4;Фото5;Фото6;Фото7;Фото8;Категория;ВесНетто;ВесБрутто
TRA004HP-21W;true;Аксессуар для трекового светильника Technical TRA004HP-21W;Technical;TRA004HP-21W;https://maytoni.ru/i/TRA004HP-21W;95;RUB;012;true;true;;;4251110027470;;0/0/0;507;Technical;Maytoni Technical;Magnetic track system;Accessories for tracks;;Нет;Нет;;;;AC 48;8536900100;Class3;IP 20;Белый;Металл;;;30;5;35;35;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Нет;Нет;;;;;;;;;https://onec-dev.s3.amazonaws.com/upload/media/1c8aa48a-fc9c-417e-ba30-32af324a32f4/s/TRA004HP-21W_on_w_standard_(1).jpeg;https://onec-dev.s3.amazonaws.com/upload/media/1c8aa48a-fc9c-417e-ba30-32af324a32f4/s/preview_TRA004HP-21W_standard_(1).jpeg;https://onec-dev.s3.amazonaws.com/upload/media/1c8aa48a-fc9c-417e-ba30-32af324a32f4/s/TRA004HP-21W_on_standard_(1).jpeg;;;;;;Аксессуар для трекового светильника;0,03;0,036
MOD004WL-L5W3K;true;Настенный светильник (бра) Maytoni MOD004WL-L5W3K;Maytoni;MOD004WL-L5W3K;https://maytoni.ru/i/MOD004WL-L5W3K;9990;RUB;006;true;true;;;4251110027166;;0/0/0;96;Maytoni;Maytoni Modern;Modern;Roca;;Нет;Нет;Планка;;;AC 220-240;9405109807;Class1;IP 20;Матовый Белый;Металл;;;235;250;;;;;;;;;;;IP 20;;;;;;;;Стекло;;200;250;325;78;;;;;;;;Да;Да;;1;5;550;180;80;3000;;https://onec-dev.s3.amazonaws.com/upload/media/8c4ec565-965a-4249-bc88-5a3984666785/s/MOD004WL-L5W3K_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/8c4ec565-965a-4249-bc88-5a3984666785/s/MOD004WL-L5W3K_on_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/8c4ec565-965a-4249-bc88-5a3984666785/s/draft_MOD004WL-L5W3K_standard.jpeg;;;;;;Настенный светильник (бра);1,6;2,2
MOD004PL-L5CE3K;true;Подвесной светильник Maytoni MOD004PL-L5CE3K;Maytoni;MOD004PL-L5CE3K;https://maytoni.ru/i/MOD004PL-L5CE3K;11990;RUB;002;true;true;;;4251110027159;;0/0/0;49;Maytoni;Maytoni Modern;Modern;Roca;;Нет;Нет;Планка;;;AC 220-240;9405109807;Class1;IP 20;Шампань;Металл;;;325;250;1500;400;;;;;;;;;IP 20;;;;100;25;;;Стекло;;200;250;325;78;;;;;;;;Да;Да;;1;5;550;180;80;3000;;https://onec-dev.s3.amazonaws.com/upload/media/4983b9ba-b600-4780-bd0b-1161a0a4f232/s/MOD004PL-L5CE3K_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/4983b9ba-b600-4780-bd0b-1161a0a4f232/s/MOD004PL-L5CE3K_on_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/4983b9ba-b600-4780-bd0b-1161a0a4f232/s/draft_MOD004PL-L5CE3K_standard.jpeg;;;;;;Подвесной светильник;1,8;2,6
MOD097PL-08CH;true;Подвесной светильник Maytoni MOD097PL-08CH;Maytoni;MOD097PL-08CH;https://maytoni.ru/i/MOD097PL-08CH;58990;RUB;002;true;true;;;4251110028088;;0/0/0;22;Maytoni;Maytoni Classic;Neoclassic;Hail;;Нет;Нет;Планка;;;AC 220-240;9405109109;Class1;IP 20;Хром;Металл;;605;;;1327;827;;;;;;;;;IP 20;;;;150;25;;;;;;;;;;;;;;;;Нет;Нет;E14;8;40;;;;;;https://onec-dev.s3.amazonaws.com/upload/media/f87332e6-5d3a-463a-bf14-b5a09934c152/s/MOD097PL-08CH_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/f87332e6-5d3a-463a-bf14-b5a09934c152/s/MOD097PL-08CH_on_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/f87332e6-5d3a-463a-bf14-b5a09934c152/s/element_MOD097PL-08CH_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/f87332e6-5d3a-463a-bf14-b5a09934c152/s/draft_MOD097PL-08CH_standard.jpeg;;;;;Подвесной светильник;13,5;14,4
MOD314WL-L13G3K;false;Настенный светильник (бра) Maytoni MOD314WL-L13G3K;Maytoni;MOD314WL-L13G3K;https://maytoni.ru/i/MOD314WL-L13G3K;24990;RUB;006;true;true;;;4251110033266;;0/0/0;0;Maytoni;Maytoni Modern;Modern;Jack-stone;;Нет;Нет;Планка;;;AC 220-240;9405109807;Class1;IP 20;Золото;Нержавеющая Сталь;;;74;790;;;;;;;;;;;IP 20;;;;;20;;;;;;;;;;;;;;;;Да;Нет;;3;13;550;120;90;3000;;https://onec-dev.s3.amazonaws.com/upload/media/49e069f2-dd62-4746-bf35-912550f29b4d/s/MOD314WL-L13G3K_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/49e069f2-dd62-4746-bf35-912550f29b4d/s/preview_MOD314WL-L13G3K_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/49e069f2-dd62-4746-bf35-912550f29b4d/s/interior_MOD314WL-L13G3K_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/49e069f2-dd62-4746-bf35-912550f29b4d/s/MOD314WL-L13G3K_on_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/49e069f2-dd62-4746-bf35-912550f29b4d/s/draft_MOD314WL-L13G3K_standard.jpeg;;;;Настенный светильник (бра);;
10109;false;Светодиодная лента Technical 10109;Technical;10109;https://maytoni.ru/i/10109;2250;RUB;049;true;true;;;4251110037585;;0/0/0;0;Technical;;Светодиодная лента;Светодиодная лента 12V;3;Нет;Нет;;;;DC 12;8543709000;Class2;IP 20;Белый;Медь;;;5000;8;;;;;;;;;;;IP 20;;;;;;;;;;;;;;;;;;;;;Да;Нет;;;9,6;1000;120;80;4000;;https://onec-dev.s3.amazonaws.com/upload/media/d380b986-7077-4af2-bf3a-c903d83f3f60/s/10109_on_w_standard.jpeg;;;;;;;;Светодиодная лента;0,07;0,08
FR6005LS-01B1;false;Плафон Freya FR6005LS-01B1;Freya;FR6005LS-01B1;https://freya-light.com/i/FR6005LS-01B1;2990;RUB;046;true;true;;;4251110028521;;0/0/0;0;Freya;;LED;Urban;;Нет;Нет;;;;AC 24;9405911000;Class1;IP 20;Черный;Алюминий, пластик, стекло;;100;;;137;137;;;;;;;;;IP 20;;;;;;;None;;;95;;;100;;;;;;;;Нет;Да;;1;4;250;120;80;3000;;https://onec-dev.s3.amazonaws.com/upload/media/dc2bf5cf-ffcb-4ba1-bf43-7c12ea8bc9a1/s/draft_FR6005LS-01B1_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/dc2bf5cf-ffcb-4ba1-bf43-7c12ea8bc9a1/s/FR6005LS-01B1_on_w_standard.jpeg;;;;;;;Плафон;;
ALM004S-2M;false;Комплектующие к светодиодной ленте Technical ALM004S-2M;Technical;ALM004S-2M;https://maytoni.ru/i/ALM004S-2M;750;RUB;050;true;true;;;4251110040646;;0/0/0;0;Technical;;Светодиодная лента;Профиль;;Нет;Нет;;;;;7604299000;;;Белый;Металл;;;2000;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;Нет;;;;;;;;;https://onec-dev.s3.amazonaws.com/upload/media/9f71e18f-921d-485a-bf5a-235ada9207cc/s/ALM004S-2M_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/9f71e18f-921d-485a-bf5a-235ada9207cc/s/preview_ALM004S-2M_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/9f71e18f-921d-485a-bf5a-235ada9207cc/s/interior_ALM004S-2M_standard.jpeg;;;;;;Комплектующие к светодиодной ленте;0,164;0,176
FR5165PL-10S;true;Люстра Freya FR5165PL-10S;Freya;FR5165PL-10S;https://freya-light.com/i/FR5165PL-10S;23900;RUB;001;true;true;;;4251110035703;;0/0/0;28;Freya;;Modern;Satellite;;Нет;Нет;Планка;;;AC 220-240;9405109109;;IP 20;Серебро;Металл;;560;;;380;380;;;;;;;;;IP 20;;;;120;25;Сфера;B;Стекло;Белый;130;130;;;;;;;;;;Нет;Нет;E27;10;60;;;;;;https://onec-dev.s3.amazonaws.com/upload/media/da9fc85a-ca15-4325-858d-c8ea11881d0a/s/FR5165PL-10S_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/da9fc85a-ca15-4325-858d-c8ea11881d0a/s/FR5165PL-10S_on_w_standard_(1).jpeg;https://onec-dev.s3.amazonaws.com/upload/media/da9fc85a-ca15-4325-858d-c8ea11881d0a/s/element_FR5165PL-10S_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/da9fc85a-ca15-4325-858d-c8ea11881d0a/s/FR5165PL-10S_on_standard.jpeg;;;;;Люстра;5,6;6,5
FR5053WL-02BS;true;Настенный светильник (бра) Freya FR5053WL-02BS;Freya;FR5053WL-02BS;https://freya-light.com/i/FR5053WL-02BS;6990;RUB;006;true;true;;;4251110001883;;0/0/0;53;Freya;;Modern;Savoy;;Нет;Нет;Планка;;;AC 220-240;9405109109;Class1;IP 20;Латунь;Металл;;;200;100;150;150;;;;;;;;;IP 20;;;;;;;;Стекло;Прозрачный;150;200;100;;;;;;;;;Нет;Да;E14;2;60;;;;;;https://onec-dev.s3.amazonaws.com/upload/media/615903da-31e1-4986-85d2-52b202ca53bd/s/FR5053WL-02BS_on_w_standard.jpeg;https://onec-dev.s3.amazonaws.com/upload/media/615903da-31e1-4986-85d2-52b202ca53bd/s/FR5053WL-02BS_on_w_standard_(1).jpeg;;;;;;;Настенный светильник (бра);1;1,6
